time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
0.000000000000000e+000	-3.297555e-021	-5.882238e-022	-6.776264e-021	-7.300207e-021	-2.596169e-020
2.823107199787331e-010	-3.945408e-018	2.797012e-018	1.419963e-018	1.365447e-018	1.506986e-018
5.823107199787321e-010	-2.664152e-018	5.731670e-018	1.653461e-018	1.548807e-018	1.719443e-018
8.823107199787310e-010	-1.926389e-018	6.614246e-018	1.897828e-018	1.758209e-018	1.903501e-018
1.000000000000000e-009	-2.947647e-018	5.549007e-018	1.955574e-018	1.868699e-018	1.804873e-018
1.179500000000018e-009	-1.063165e-018	7.296068e-018	2.113274e-018	1.847429e-018	2.074491e-018
1.479500000000048e-009	-1.588681e-018	6.490342e-018	2.171747e-018	1.975712e-018	2.280333e-018
1.779500000000078e-009	-5.257985e-019	7.332850e-018	2.408015e-018	2.150943e-018	2.510399e-018
2.079500000000063e-009	-5.051419e-019	7.106697e-018	2.518406e-018	2.318065e-018	2.674668e-018
2.379500000000031e-009	-6.469202e-019	6.667163e-018	2.669518e-018	2.449098e-018	2.815187e-018
2.679499999999999e-009	-4.496128e-019	6.640958e-018	2.775738e-018	2.499326e-018	2.995846e-018
2.979499999999967e-009	3.463725e-019	7.244745e-018	2.965307e-018	2.612453e-018	3.069206e-018
3.279499999999935e-009	2.960569e-019	7.023214e-018	3.011787e-018	2.719258e-018	3.269065e-018
3.579499999999903e-009	5.273682e-019	7.065096e-018	3.019024e-018	2.789375e-018	3.407803e-018
3.879499999999935e-009	-3.538203e-019	6.026945e-018	3.159267e-018	2.920664e-018	3.528629e-018
3.892071428571376e-009	-3.687607e-019	6.006567e-018	3.173183e-018	2.904418e-018	3.526654e-018
3.904642857142817e-009	-3.583959e-019	6.011656e-018	3.178638e-018	2.891274e-018	3.525383e-018
3.917214285714258e-009	-3.227258e-019	6.042211e-018	3.175633e-018	2.881234e-018	3.524818e-018
3.929785714285698e-009	-2.617504e-019	6.098233e-018	3.164168e-018	2.874298e-018	3.524957e-018
3.942357142857139e-009	-1.754699e-019	6.179721e-018	3.144243e-018	2.870464e-018	3.525800e-018
3.954928571428580e-009	-6.388404e-020	6.286676e-018	3.115858e-018	2.869734e-018	3.527348e-018
3.967500000000021e-009	7.300703e-020	6.419098e-018	3.079013e-018	2.872108e-018	3.529601e-018
3.982071428571436e-009	-1.175554e-019	6.178936e-018	3.121346e-018	2.878696e-018	3.531060e-018
3.996642857142852e-009	-2.038410e-019	5.997143e-018	3.155272e-018	2.889665e-018	3.533135e-018
4.011214285714267e-009	-1.858497e-019	5.873716e-018	3.180790e-018	2.905015e-018	3.535827e-018
4.025785714285682e-009	-6.358152e-020	5.808658e-018	3.197900e-018	2.924745e-018	3.539135e-018
4.040357142857098e-009	1.629635e-019	5.801966e-018	3.206603e-018	2.948856e-018	3.543059e-018
4.054928571428513e-009	4.937854e-019	5.853642e-018	3.206898e-018	2.977348e-018	3.547600e-018
4.069499999999929e-009	9.288841e-019	5.963686e-018	3.198786e-018	3.010220e-018	3.552757e-018
4.173499999999961e-009	1.295927e-018	4.959181e-018	3.198938e-018	2.985798e-018	3.586050e-018
4.473500000000053e-009	3.231248e-018	5.028918e-018	3.288770e-018	3.080213e-018	3.736008e-018
4.773500000000145e-009	3.827427e-018	5.033797e-018	3.308886e-018	3.085708e-018	3.891549e-018
5.073500000000237e-009	-3.749149e-019	3.186552e-018	4.720314e-018	4.462575e-018	5.516085e-018
5.373500000000329e-009	2.458285e-019	8.430893e-018	5.404660e-018	5.072692e-018	6.338760e-018
5.673500000000421e-009	1.880807e-018	1.067481e-017	5.261515e-018	4.895548e-018	6.078797e-018
5.973500000000513e-009	1.598599e-018	1.026053e-017	6.168136e-018	5.708738e-018	7.125714e-018
5.998500000000521e-009	2.740690e-019	8.931459e-018	5.965117e-018	5.626507e-018	7.009844e-018
5.999500000000521e-009	3.306851e-018	1.191881e-017	6.859293e-017	6.825676e-017	5.346594e-018
6.000500000000522e-009	8.532304e-018	1.709339e-017	4.795052e-016	4.796587e-016	3.623177e-018
6.001500000000522e-009	9.771018e-018	1.846495e-017	1.717007e-015	1.718516e-015	4.376051e-018
6.003928571429094e-009	7.562822e-018	1.382269e-017	9.660851e-015	9.668607e-015	5.054288e-018
6.006357142857667e-009	3.987269e-018	1.485786e-017	2.589491e-014	2.591355e-014	5.653133e-018
6.008785714286239e-009	-9.556406e-019	2.157046e-017	5.041918e-014	5.045335e-014	6.172587e-018
6.011214285714811e-009	-7.265907e-018	3.396048e-017	8.323366e-014	8.328799e-014	6.612649e-018
6.013642857143383e-009	-1.494353e-017	5.202793e-017	1.243384e-013	1.244175e-013	6.973320e-018
6.016071428571955e-009	-2.398851e-017	7.577281e-017	1.737333e-013	1.738418e-013	7.254600e-018
6.018500000000527e-009	-3.440085e-017	1.051951e-016	2.314184e-013	2.315611e-013	7.456488e-018
6.054785714286253e-009	1.573595e-016	-2.420081e-015	2.328464e-012	2.329834e-012	-4.093647e-018
6.091071428571978e-009	-2.598957e-015	5.693132e-015	5.835736e-012	5.839056e-012	1.875474e-017
6.127357142857704e-009	-8.303350e-015	2.444483e-014	1.075323e-011	1.075923e-011	7.600165e-017
6.163642857143429e-009	-1.695582e-014	5.383502e-014	1.708096e-011	1.709034e-011	1.676471e-016
6.199928571429154e-009	-2.855637e-014	9.386370e-014	2.481891e-011	2.483241e-011	2.936910e-016
6.236214285714880e-009	-4.310499e-014	1.445309e-013	3.396709e-011	3.398543e-011	4.541335e-016
6.272500000000605e-009	-6.060169e-014	2.058365e-013	4.452549e-011	4.454939e-011	6.489745e-016
6.273500000000605e-009	-6.114586e-014	2.078288e-013	4.482510e-011	4.484915e-011	6.562985e-016
6.316214285714904e-009	-8.764073e-014	3.038180e-013	5.859384e-011	5.862503e-011	9.657937e-016
6.358928571429203e-009	-1.171832e-013	4.201409e-013	7.350636e-011	7.354513e-011	1.359103e-015
6.401642857143502e-009	-1.497733e-013	5.567974e-013	8.956265e-011	8.960943e-011	1.836225e-015
6.444357142857801e-009	-1.854110e-013	7.137875e-013	1.067627e-010	1.068179e-010	2.397161e-015
6.487071428572100e-009	-2.240963e-013	8.911112e-013	1.251065e-010	1.251707e-010	3.041910e-015
6.529785714286398e-009	-2.658292e-013	1.088768e-012	1.445941e-010	1.446676e-010	3.770473e-015
6.572500000000697e-009	-3.106097e-013	1.306759e-012	1.652255e-010	1.653088e-010	4.582849e-015
6.573500000000697e-009	-3.116501e-013	1.312072e-012	1.657145e-010	1.657980e-010	4.602910e-015
6.873500000000789e-009	-6.414274e-013	3.327284e-012	3.314266e-010	3.315833e-010	1.281897e-014
6.900000418282007e-009	-6.704982e-013	3.541414e-012	3.476407e-010	3.478040e-010	1.374645e-014
7.144713296168485e-009	-9.240507e-013	5.742368e-012	5.071109e-010	5.073366e-010	2.378834e-014
7.444713296168577e-009	-1.185630e-012	8.886812e-012	7.231080e-010	7.234086e-010	3.947105e-014
7.744713296168425e-009	-1.391926e-012	1.239633e-011	9.580619e-010	9.584324e-010	5.851324e-014
7.766713296168414e-009	-1.405140e-012	1.266543e-011	9.759710e-010	9.763467e-010	6.003484e-014
7.767713296168413e-009	-1.405735e-012	1.267769e-011	9.767871e-010	9.771630e-010	6.010371e-014
7.767993970497466e-009	-1.405902e-012	1.268114e-011	9.770162e-010	9.773922e-010	6.012281e-014
7.768226161086782e-009	-1.406039e-012	1.268399e-011	9.772058e-010	9.775818e-010	6.013868e-014
7.768883066583345e-009	-1.406427e-012	1.269205e-011	9.777438e-010	9.781199e-010	6.018355e-014
7.770551613840212e-009	-1.407422e-012	1.271253e-011	9.791475e-010	9.795241e-010	6.030175e-014
7.771551613840212e-009	-1.408018e-012	1.272482e-011	9.800289e-010	9.804058e-010	6.037071e-014
7.772551613840211e-009	-1.408616e-012	1.273711e-011	9.809573e-010	9.813345e-010	6.043946e-014
7.773551613840211e-009	-1.409219e-012	1.274942e-011	9.819460e-010	9.823236e-010	6.050988e-014
7.775551613840210e-009	-1.410449e-012	1.277410e-011	9.841585e-010	9.845369e-010	6.064982e-014
7.777551613840209e-009	-1.411717e-012	1.279891e-011	9.867756e-010	9.871551e-010	6.078975e-014
7.779551613840208e-009	-1.413055e-012	1.282389e-011	9.899064e-010	9.902873e-010	6.093056e-014
7.781551613840207e-009	-1.414478e-012	1.284913e-011	9.936598e-010	9.940425e-010	6.107184e-014
7.783551613840205e-009	-1.416030e-012	1.287472e-011	9.981442e-010	9.985293e-010	6.121448e-014
