time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
3.974310407822766e-008	8.022002e-006	3.648398e-006	1.870575e-008	1.471948e-008	2.455206e-007
3.975038979251338e-008	8.022861e-006	3.647183e-006	1.835903e-008	1.470009e-008	2.422769e-007
3.975767550679911e-008	8.023740e-006	3.645927e-006	1.797738e-008	1.468066e-008	2.391234e-007
3.976496122108483e-008	8.024637e-006	3.644628e-006	1.756081e-008	1.466117e-008	2.360601e-007
3.977224693537056e-008	8.025554e-006	3.643288e-006	1.710931e-008	1.464164e-008	2.330871e-007
3.977953264965628e-008	8.026489e-006	3.641905e-006	1.662289e-008	1.462206e-008	2.302044e-007
3.978681836394200e-008	8.027443e-006	3.640480e-006	1.610154e-008	1.460244e-008	2.274119e-007
3.979524693537058e-008	8.028602e-006	3.638773e-006	1.545803e-008	1.457967e-008	2.242829e-007
3.980367550679916e-008	8.029814e-006	3.637011e-006	1.479650e-008	1.455692e-008	2.212496e-007
3.981210407822774e-008	8.031079e-006	3.635193e-006	1.411694e-008	1.453419e-008	2.183121e-007
3.982053264965632e-008	8.032399e-006	3.633320e-006	1.341936e-008	1.451146e-008	2.154702e-007
3.982896122108491e-008	8.033771e-006	3.631392e-006	1.270376e-008	1.448874e-008	2.127240e-007
3.983738979251348e-008	8.035198e-006	3.629408e-006	1.197013e-008	1.446604e-008	2.100735e-007
3.984581836394207e-008	8.036678e-006	3.627368e-006	1.121848e-008	1.444335e-008	2.075186e-007
3.984681836394207e-008	8.036857e-006	3.627124e-006	1.113050e-008	1.444066e-008	2.072202e-007
3.985524693537065e-008	8.038404e-006	3.625026e-006	1.038249e-008	1.441804e-008	2.047577e-007
3.986367550679923e-008	8.039986e-006	3.622888e-006	9.642355e-009	1.439545e-008	2.023694e-007
3.987210407822781e-008	8.041602e-006	3.620708e-006	8.910084e-009	1.437291e-008	2.000552e-007
3.988053264965639e-008	8.043253e-006	3.618488e-006	8.185681e-009	1.435040e-008	1.978151e-007
3.988896122108497e-008	8.044939e-006	3.616226e-006	7.469145e-009	1.432793e-008	1.956490e-007
3.989738979251355e-008	8.046659e-006	3.613924e-006	6.760477e-009	1.430549e-008	1.935571e-007
3.990581836394213e-008	8.048413e-006	3.611580e-006	6.059676e-009	1.428310e-008	1.915392e-007
3.991181836394214e-008	8.049669e-006	3.609895e-006	5.570489e-009	1.426721e-008	1.901399e-007
3.991781836394215e-008	8.050925e-006	3.608196e-006	5.091143e-009	1.425130e-008	1.887709e-007
3.992381836394215e-008	8.052183e-006	3.606484e-006	4.621637e-009	1.423538e-008	1.874320e-007
3.992981836394216e-008	8.053442e-006	3.604758e-006	4.161971e-009	1.421944e-008	1.861234e-007
3.993581836394217e-008	8.054702e-006	3.603019e-006	3.712147e-009	1.420349e-008	1.848451e-007
3.994181836394217e-008	8.055963e-006	3.601267e-006	3.272162e-009	1.418753e-008	1.835969e-007
3.994781836394218e-008	8.057225e-006	3.599502e-006	2.842018e-009	1.417155e-008	1.823790e-007
3.996281836394220e-008	8.060336e-006	3.595052e-006	1.821181e-009	1.413191e-008	1.794487e-007
3.996381836394220e-008	8.060540e-006	3.594753e-006	1.755040e-009	1.412928e-008	1.792591e-007
3.996409903827125e-008	8.060599e-006	3.594669e-006	1.741184e-009	1.412854e-008	1.792060e-007
3.996420218765669e-008	8.060620e-006	3.594639e-006	1.738293e-009	1.412827e-008	1.791865e-007
3.996427748022454e-008	8.060635e-006	3.594616e-006	1.733853e-009	1.412807e-008	1.791723e-007
3.996435784877092e-008	8.060651e-006	3.594592e-006	1.729334e-009	1.412786e-008	1.791571e-007
3.996437201019750e-008	8.060654e-006	3.594588e-006	1.728259e-009	1.412783e-008	1.791544e-007
3.998638080587429e-008	8.065188e-006	3.587917e-006	4.513454e-010	1.407004e-008	1.752299e-007
4.000838960155109e-008	8.069317e-006	3.581224e-006	-8.194870e-010	1.401235e-008	1.715568e-007
4.003039839722789e-008	8.073042e-006	3.574509e-006	-2.084238e-009	1.395478e-008	1.681351e-007
4.005240719290468e-008	8.076361e-006	3.567770e-006	-3.342908e-009	1.389731e-008	1.649648e-007
4.007441598858148e-008	8.079276e-006	3.561010e-006	-4.595497e-009	1.383995e-008	1.620460e-007
4.009642478425828e-008	8.081786e-006	3.554226e-006	-5.842005e-009	1.378270e-008	1.593786e-007
4.011843357993508e-008	8.083892e-006	3.547420e-006	-7.082432e-009	1.372555e-008	1.569626e-007
4.011943357993508e-008	8.083971e-006	3.547113e-006	-7.138762e-009	1.372296e-008	1.568546e-007
4.014114786564939e-008	8.085413e-006	3.540448e-006	-8.359030e-009	1.366672e-008	1.546292e-007
4.016286215136370e-008	8.086367e-006	3.533795e-006	-9.576745e-009	1.361062e-008	1.525310e-007
4.018457643707801e-008	8.086833e-006	3.527153e-006	-1.079191e-008	1.355467e-008	1.505601e-007
4.020629072279231e-008	8.086813e-006	3.520523e-006	-1.200452e-008	1.349886e-008	1.487165e-007
4.022800500850663e-008	8.086304e-006	3.513904e-006	-1.321458e-008	1.344320e-008	1.470001e-007
4.024971929422094e-008	8.085309e-006	3.507296e-006	-1.442208e-008	1.338769e-008	1.454110e-007
4.027143357993525e-008	8.083825e-006	3.500700e-006	-1.562704e-008	1.333232e-008	1.439491e-007
4.027371929422096e-008	8.083645e-006	3.500005e-006	-1.575393e-008	1.332650e-008	1.437978e-007
4.027600500850668e-008	8.083460e-006	3.499310e-006	-1.588210e-008	1.332068e-008	1.436475e-007
4.027829072279240e-008	8.083271e-006	3.498616e-006	-1.601152e-008	1.331487e-008	1.434981e-007
4.028057643707812e-008	8.083076e-006	3.497921e-006	-1.614221e-008	1.330906e-008	1.433498e-007
4.028286215136384e-008	8.082877e-006	3.497226e-006	-1.627416e-008	1.330324e-008	1.432024e-007
4.028514786564955e-008	8.082673e-006	3.496531e-006	-1.640738e-008	1.329744e-008	1.430560e-007
4.028743357993527e-008	8.082465e-006	3.495837e-006	-1.654186e-008	1.329163e-008	1.429106e-007
4.029143357993527e-008	8.082087e-006	3.494621e-006	-1.678279e-008	1.328147e-008	1.426584e-007
4.029543357993528e-008	8.081696e-006	3.493405e-006	-1.702694e-008	1.327131e-008	1.424090e-007
4.029943357993528e-008	8.081290e-006	3.492189e-006	-1.727430e-008	1.326117e-008	1.421624e-007
4.030343357993529e-008	8.080870e-006	3.490973e-006	-1.752487e-008	1.325102e-008	1.419185e-007
4.030743357993529e-008	8.080435e-006	3.489756e-006	-1.777866e-008	1.324089e-008	1.416773e-007
4.031143357993529e-008	8.079987e-006	3.488540e-006	-1.803566e-008	1.323075e-008	1.414389e-007
4.031543357993530e-008	8.079524e-006	3.487324e-006	-1.829588e-008	1.322063e-008	1.412032e-007
4.032157643707817e-008	8.078786e-006	3.485455e-006	-1.869749e-008	1.320509e-008	1.408465e-007
4.032771929422103e-008	8.078017e-006	3.483586e-006	-1.910500e-008	1.318956e-008	1.404954e-007
4.033386215136389e-008	8.077217e-006	3.481716e-006	-1.951841e-008	1.317404e-008	1.401498e-007
4.034000500850675e-008	8.076385e-006	3.479845e-006	-1.993772e-008	1.315854e-008	1.398098e-007
4.034614786564962e-008	8.075523e-006	3.477973e-006	-2.036293e-008	1.314305e-008	1.394755e-007
4.035229072279248e-008	8.074629e-006	3.476101e-006	-2.079404e-008	1.312758e-008	1.391467e-007
4.035843357993535e-008	8.073705e-006	3.474228e-006	-2.123105e-008	1.311211e-008	1.388235e-007
4.036086215136392e-008	8.073331e-006	3.473487e-006	-2.140555e-008	1.310601e-008	1.386970e-007
4.036329072279249e-008	8.072954e-006	3.472746e-006	-2.158091e-008	1.309990e-008	1.385713e-007
4.036571929422107e-008	8.072571e-006	3.472005e-006	-2.175711e-008	1.309379e-008	1.384463e-007
4.036814786564965e-008	8.072185e-006	3.471263e-006	-2.193417e-008	1.308769e-008	1.383221e-007
4.037057643707822e-008	8.071793e-006	3.470522e-006	-2.211209e-008	1.308159e-008	1.381987e-007
4.037300500850679e-008	8.071397e-006	3.469780e-006	-2.229086e-008	1.307549e-008	1.380761e-007
4.037543357993537e-008	8.070997e-006	3.469038e-006	-2.247048e-008	1.306939e-008	1.379542e-007
4.037843357993537e-008	8.070497e-006	3.468121e-006	-2.269281e-008	1.306186e-008	1.378047e-007
4.038143357993537e-008	8.069989e-006	3.467204e-006	-2.291502e-008	1.305434e-008	1.376563e-007
4.038443357993538e-008	8.069475e-006	3.466286e-006	-2.313643e-008	1.304681e-008	1.375090e-007
4.038614786564967e-008	8.069179e-006	3.465762e-006	-2.326246e-008	1.304252e-008	1.374253e-007
4.038786215136395e-008	8.068880e-006	3.465238e-006	-2.338786e-008	1.303822e-008	1.373420e-007
4.038957643707824e-008	8.068579e-006	3.464713e-006	-2.351263e-008	1.303393e-008	1.372590e-007
4.039129072279252e-008	8.068276e-006	3.464188e-006	-2.363676e-008	1.302963e-008	1.371764e-007
4.039300500850681e-008	8.067971e-006	3.463663e-006	-2.376027e-008	1.302534e-008	1.370941e-007
4.039471929422110e-008	8.067664e-006	3.463138e-006	-2.388314e-008	1.302105e-008	1.370122e-007
4.039643357993539e-008	8.067354e-006	3.462613e-006	-2.400539e-008	1.301676e-008	1.369306e-007
4.039957643707825e-008	8.066782e-006	3.461650e-006	-2.422715e-008	1.300889e-008	1.367819e-007
4.040271929422111e-008	8.066203e-006	3.460687e-006	-2.444747e-008	1.300103e-008	1.366344e-007
4.040586215136397e-008	8.065617e-006	3.459723e-006	-2.466634e-008	1.299317e-008	1.364879e-007
4.040900500850683e-008	8.065024e-006	3.458759e-006	-2.488376e-008	1.298532e-008	1.363425e-007
4.041214786564970e-008	8.064425e-006	3.457794e-006	-2.509973e-008	1.297747e-008	1.361982e-007
4.041529072279255e-008	8.063819e-006	3.456829e-006	-2.531426e-008	1.296962e-008	1.360550e-007
4.041843357993542e-008	8.063205e-006	3.455864e-006	-2.552733e-008	1.296178e-008	1.359129e-007
4.041943357993542e-008	8.063009e-006	3.455556e-006	-2.559515e-008	1.295928e-008	1.358679e-007
4.042443357993542e-008	8.062016e-006	3.454019e-006	-2.593274e-008	1.294681e-008	1.356446e-007
4.042943357993543e-008	8.061008e-006	3.452481e-006	-2.626964e-008	1.293435e-008	1.354237e-007
4.043443357993543e-008	8.059984e-006	3.450941e-006	-2.660586e-008	1.292190e-008	1.352053e-007
